proc_norm,id_evento
30010.296/2025,5
30010.312/2025,18
30010.12/2025,118
30010.16/2025,117
30010.21/2025,7
30010.29/2025,115
30010.30/2025,114
30010.36/2025,113
30010.45/2025,25
30010.50/2025,52
30010.51/2025,55
30010.56/2025,108
30010.60/2025,112
30010.61/2025,111
30010.62/2025,110
30010.63/2025,109
30010.65/2025,43
30010.70/2025,102
30010.71/2025,54
30010.72/2025,53
30010.75/2025,51
30010.87/2025,50
30010.88/2025,107
30010.89/2025,106
30010.91/2025,94
30010.92/2025,34
30010.93/2025,39
30010.93/2025,40
30010.96/2025,49
30010.97/2025,48
30010.98/2025,11
30010.100/2025,47
30010.108/2025,105
30010.111/2025,104
30010.116/2025,101
30010.117/2025,45
30010.118/2025,44
30010.119/2025,99
30010.125/2025,98
30010.144/2025,97
30010.145/2025,96
30010.148/2025,95
30010.156/2025,41
30010.157/2025,93
30010.160/2025,92
30010.166/2025,91
30010.167/2025,90
30010.168/2025,42
30010.169/2025,89
30010.170/2025,88
30010.172/2025,85
30010.174/2025,37
30010.175/2025,35
30010.181/2025,38
30010.182/2025,36
30010.189/2025,87
30010.191/2025,84
30010.193/2025,33
30010.199/2025,32
30010.202/2025,83
30010.204/2025,31
30010.214/2024,80
30010.215/2025,30
30010.226/2025,29
30010.227/2025,28
30010.229/2025,82
30010.233/2025,27
30010.234/2025,26
30010.235/2025,81
30010.239/2025,79
30010.242/2025,78
30010.252/2025,77
30010.258/2025,76
30010.276/2025,75
30010.277/2025,24
30010.285/2025,57
30010.289/2025,23
30010.290/2025,73
30010.291/2025,22
30010.309/2025,20
30010.311/2025,72
30010.314/2025,71
30010.324/2025,17
30010.329/2025,70
30010.331/2025,69
30010.332/2025,16
30010.333/2025,68
30010.338/2025,67
30010.339/2025,15
30010.342/2025,66
30010.344/2025,65
30010.362/2025,14
30010.364/2025,13
30010.365/2025,12
30010.373/2025,64
30010.390/2025,63
30010.391/2025,61
30010.392/2025,62
30010.398/2025,60
30010.400/2025,59
30010.402/2025,6
30010.404/2025,58
30010.409/2025,10
30010.412/2025,8
36000.27/2025,116
XXXXX,56
